year,title,artist,id,uri,rank,genre,cover,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,time_signature,duration_ms,start_time
1947,(I Love You) For Sentimental Reasons,Nat King Cole,422alZE29Qxe1ql5a8l1aU,spotify:track:422alZE29Qxe1ql5a8l1aU,2,Jazz,FALSE,0.488,0.051,1,-18.664,0.0403,0.977,0.0084,0.112,0.342,72.059,1,4,173947,0:00
1947,"Managua, Nicaragua",Freddy Martin,4Yfcg83bpPnWt1hPBBifvD,spotify:track:4Yfcg83bpPnWt1hPBBifvD,4,Jazz,FALSE,0.703,0.278,7,-11.335,0.0446,0.927,3.40E-05,0.0763,0.788,122.956,,4,172280,1:11
1947,Heartaches,Ted Weems and His Orchestra,2UxSBKIO6ZsvJxLjYCVsqr,spotify:track:2UxSBKIO6ZsvJxLjYCVsqr,5,Jazz,TRUE,0.708,0.75,8,-10.771,0.0494,0.787,0.71,0.0778,0.894,132.773,1,4,160120,0:04
1947,Peg O' My Heart,The Harmonicats,7wOypVbv6u3sdnjBwLqFgO,spotify:track:7wOypVbv6u3sdnjBwLqFgO,7,Pop,FALSE,0.427,0.201,11,-11.632,0.0364,0.364,0.329,0.423,0.522,67.071,0,4,133813,0:45
1947,"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",Perry Como,2MxFk746e4LJmVUHm8OqDc,spotify:track:2MxFk746e4LJmVUHm8OqDc,8,Pop,FALSE,0.602,,10,-15.947,0.0513,0.992,0.000155,0.0739,0.623,87.787,1,4,176840,1:00
1947,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,7nskxCYXAwoKiJkZzUMcJo,spotify:track:7nskxCYXAwoKiJkZzUMcJo,9,Country,FALSE,0.653,0.716,4,-7.443,0.366,0.748,0,0.062,0.877,124.51,1,4,163333,0:04
1947,Near You,Francis Craig and His Orchestra,0i7GVS1YRgSOvqNz1Ganhl,spotify:track:0i7GVS1YRgSOvqNz1Ganhl,10,Jazz,TRUE,0.59,0.2,2,-18.52,0.0323,0.97,0.769,0.11,0.533,135.551,1,4,171533,1:06
1947,Ballerina,Vaughn Monroe,0ofCGeBL5GibGGoBk5l94j,spotify:track:0ofCGeBL5GibGGoBk5l94j,11,Pop,FALSE,0.4,0.453,9,-8.306,0.0381,0.961,0.752,0.189,0.728,121.769,1,4,207333,0:07
1947,Ain't Nobody Here But Us Chickens,Louis Jordan,3yzPDnRIMSSqXMcOso99bT,spotify:track:3yzPDnRIMSSqXMcOso99bT,12,Jazz,FALSE,0.644,0.773,0,-9.77,0.135,0.329,0,0.162,0.822,,1,4,154173,0:15
1947,Texas And Pacific,Louis Jordan,5hLO9XwjDNDaOHju4OBJpz,spotify:track:5hLO9XwjDNDaOHju4OBJpz,13,Jazz,FALSE,0.618,0.391,7,-12.911,0.0562,0.859,3.47E-06,0.611,0.798,164.955,1,4,182160,0:31
1947,I Want To Be Loved,Savannah Churchill and the Sentimentalists,1ZQSW2tmnqZed9TH03U9aV,spotify:track:1ZQSW2tmnqZed9TH03U9aV,14,Jazz,FALSE,0.473,0.311,3,-11.207,0.042,0.748,0,0.209,0.608,124.387,0,4,121107,0:09
1947,Old Maid Boogie,"Eddie ""Cleanhead"" Vinson",5HDuDEprqFBxLzm7Cw8aza,spotify:track:5HDuDEprqFBxLzm7Cw8aza,15,Jazz,FALSE,0.639,0.52,3,-8.777,0.0493,0.621,2.75E-06,0.0883,0.707,128.741,1,4,201147,0:21
1947,"Jack, You're Dead!",,1FBNnKr50qxGRG694O9gwf,spotify:track:1FBNnKr50qxGRG694O9gwf,16,Jazz,FALSE,0.617,0.282,8,-11.875,0.317,0.445,0,0.126,0.759,180.278,1,4,152880,0:10
1947,Boogie Woogie Blue Plate,Louis Jordan,05m1FqPd38KVfKtbT8SXC9,spotify:track:05m1FqPd38KVfKtbT8SXC9,17,Jazz,FALSE,0.625,0.15,2,-16.659,0.0564,0.856,0,0.187,0.728,131.291,0,4,167200,0:27
1947,(Opportunity Knocks But Once) Snatch And Grab It,Julia Lee and Her Boy Friends,4oVcHeTG4tWIEyRmx6UTdV,spotify:track:4oVcHeTG4tWIEyRmx6UTdV,18,Jazz,FALSE,0.749,0.299,5,-7.904,0.0938,0.818,0.000323,0.101,0.787,92.755,0,4,175000,0:02
1947,A Gal In Calico,Johnny Mercer,103xkJkUSJUUaoOsekRI4J,spotify:track:103xkJkUSJUUaoOsekRI4J,20,Pop,FALSE,0.592,0.0924,3,-15.738,0.0313,0.965,0,0.36,0.647,130.033,1,4,159067,0:14
1947,You Keep Coming Back Like A Song,Jo Stafford,65iO6KnGS4Pi0bcdZk3740,spotify:track:65iO6KnGS4Pi0bcdZk3740,21,Pop,FALSE,0.167,0.159,5,-13.08,0.0358,0.963,0.0023,0.364,0.179,80.685,1,4,170773,0:13
1947,Ain't That Just Like A Woman,Louis Jordan,26SSaZuCRH4zgk0zqTlsZU,spotify:track:26SSaZuCRH4zgk0zqTlsZU,23,Jazz,FALSE,0.78,0.479,0,-12.568,0.0501,0.795,1.34E-05,0.3,0.893,88.585,1,4,170387,0:21
1947,"Oh, But I Do",Margaret Whiting,321sfNUBt4pvIUDyJTBlre,spotify:track:321sfNUBt4pvIUDyJTBlre,23,Pop,FALSE,0.266,0.121,8,-14.533,0.0324,0.971,0.022,0.134,0.239,82.478,0,4,185467,0:18
1947,Anniversary Song,Dinah Shore,0CCYJV7z9lyGTytKEpHAgM,spotify:track:0CCYJV7z9lyGTytKEpHAgM,24,Pop,FALSE,0.241,0.148,11,-13.818,0.0397,0.965,0.000126,0.0932,0.173,84.797,0,4,181160,0:10
1947,"It Might As Well Be Spring (From ""State Fair"")",Margaret Whiting,0MlUeKx3iGaMCj1q5i84hW,spotify:track:0MlUeKx3iGaMCj1q5i84hW,24,Pop,FALSE,0.3,0.157,0,-14.702,0.0345,0.787,0,0.0991,0.34,76.928,1,3,168189,0:17
1947,They Say It's Wonderful,Frank Sinatra,0SzEjqkSSPdOORJCsMWHvw,spotify:track:0SzEjqkSSPdOORJCsMWHvw,25,Pop,FALSE,0.292,0.0934,3,-19.802,0.036,0.897,0.00036,0.258,0.21,73.613,1,4,184333,0:15
1947,Guilty - Remastered 1990,Margaret Whiting,17NayrfOEDzQr8PVmTNWOB,spotify:track:17NayrfOEDzQr8PVmTNWOB,25,Pop,FALSE,0.389,0.0949,5,-15.463,0.0338,0.946,0,0.137,0.38,96.996,1,4,192373,0:13
1947,How Are Things in Glacca Morra?,Dick Haymes,3X6mLKkH7ZxiRf3fthKHjb,spotify:track:3X6mLKkH7ZxiRf3fthKHjb,26,Pop,FALSE,0.304,0.182,0,-13.41,0.0344,0.822,0.00745,0.3,0.19,94.883,1,3,181493,0:12
1947,Chickery Chick,Sammy Kaye,6bzAvDKbXtGdg8afTFrmKs,spotify:track:6bzAvDKbXtGdg8afTFrmKs,26,Jazz,FALSE,0.761,0.371,5,-11.236,0.178,0.814,0,0.235,0.933,115.804,1,4,138413,0:10
1947,Jalousie,Harry James,2yXw5XlCgQTyh6dApnQrq1,spotify:track:2yXw5XlCgQTyh6dApnQrq1,27,Jazz,FALSE,0.304,0.26,0,-13.339,0.0351,0.811,0.41,0.129,0.499,172.675,1,3,191880,0:11
1947,"It's Been a Long, Long Time",Harry James,52XDumqYDUXX16R7FM5fpV,spotify:track:52XDumqYDUXX16R7FM5fpV,27,Jazz,FALSE,0.271,0.219,0,-9.767,0.031,0.938,0.00086,0.263,0.375,74.68,1,4,203773,1:05
1947,I'll Close My Eyes,Andy Russell,510oxSJGNAjdqdtxz9B4FD,spotify:track:510oxSJGNAjdqdtxz9B4FD,28,Jazz,FALSE,0.133,0.37,8,-8.847,0.0343,0.895,0.332,0.0422,0.199,84.818,1,4,180400,0:18
1947,Waitin' For The Train To Come In,Peggy Lee,,spotify:track:0msITI4BDRA1x48WyD7Gah,28,Pop,FALSE,0.717,0.0783,10,-12.565,0.0367,0.979,,0.169,0.473,76.881,1,4,187093,0:11
1947,Linda,Buddy Clark,38sOogpY9Oce0OQRNP6Y2z,spotify:track:38sOogpY9Oce0OQRNP6Y2z,29,Jazz,FALSE,0.55,0.0821,5,-18.878,0.0776,0.992,0.0306,0.102,0.532,101.279,,4,198000,0:47
1947,(A Hubba-Hubba-Hubba) Dig You Later,Perry Como,4xc6ja6BCitKPuRZj8NMva,spotify:track:4xc6ja6BCitKPuRZj8NMva,29,Pop,FALSE,0.809,0.379,1,-11.242,0.268,0.947,0,0.176,0.863,80.225,1,4,182973,0:17
1947,"Moon Faced, Starry Eyed",Johnny Mercer,0a3nTiAjFn7g9hNoDHVU4T,spotify:track:0a3nTiAjFn7g9hNoDHVU4T,30,Pop,FALSE,0.735,0.322,5,-6.554,0.0355,0.864,0.00148,0.645,0.572,127.445,1,4,184693,1:10
1947,I'll Buy That Dream,Dick Haymes,1wMfJPViBRp7sKP2bE5NrA,spotify:track:1wMfJPViBRp7sKP2bE5NrA,31,Pop,FALSE,0.524,0.136,6,-10.377,0.0483,0.939,4.16E-06,0.36,0.471,95.555,1,4,182599,0:10
1947,I Want To Thank Your Folks,Nat King Cole,0jEQc0oD8HpczaLYv39pm5,spotify:track:0jEQc0oD8HpczaLYv39pm5,31,Pop,FALSE,0.598,0.0281,,-22.511,0.0463,0.993,0.719,0.107,0.22,66.75,1,4,193093,0:06
1947,I'm Always Chasing Rainbows,Perry Como,4GGbiccqg0WLVRCXShmZC8,spotify:track:4GGbiccqg0WLVRCXShmZC8,32,Pop,FALSE,0.337,0.0462,4,-17.626,0.036,0.994,0.0014,0.146,0.198,85.92,1,4,184400,0:06
1947,Santa Catalina (Island Of Romance),The Dinning Sisters,3GjRNIlaX8bpusy8sI9Y6B,spotify:track:3GjRNIlaX8bpusy8sI9Y6B,32,Country,FALSE,0.511,0.0641,0,-18.321,0.0471,0.984,0.000231,0.102,0.499,154.779,0,4,173667,0:07
